@relation data

@attribute Class {DCIC,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,Nerv,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,5,27,10,18,60,5352,27172,422,296,218,476,19682,1008,922,2526,5352,24,20,16,28,148,5,5,27,743,181,146,515,52064,16999,9413,35893
Fettgewebe,0,0,4,5,10,60,61470,50622,302,277,168,343,39388,1161,689,4746,61470,21,21,17,25,223,7,4,37,7751,969,248,4536,1544485,80863,24259,338244
Fettgewebe,0,1,7,3,9,24,14902,741679,392,320,208,478,692383,1106,617,2803,14902,20,18,16,23,5569,11,5,23,2591,139,44,340,159444,8229,3744,17581
Fettgewebe,0,0,0,0,0,0,0,160801,0,0,0,0,160801,160801,160801,160801,0,0,0,0,0,5018,5018,5018,5018,0,0,0,0,0,0,0,0
Fettgewebe,0,1,8,3,9,31,10543,487945,491,361,201,613,434343,841,693,1410,10543,23,20,16,26,2534,11,5,19,1632,79,51,200,134763,4316,2235,9687
Fettgewebe,0,0,7,7,12,28,18864,188640,362,268,201,615,166217,166217,166217,166217,18864,21,22,17,24,662,662,662,662,16621,16621,16621,16621,2084139,2084139,2084139,2084139
Fettgewebe,0,0,1,1,4,7,51047,3624375,415,311,196,594,3515838,3515838,3515838,3515838,51047,20,20,16,24,78625,78625,78625,78625,175791,175791,175791,175791,3930354,3930354,3930354,3930354
Fettgewebe,0,0,7,7,13,41,21427,197359,370,307,204,439,173266,1333,638,2010,21427,19,18,16,22,853,6,4,19,6583,557,202,918,492590,29232,14819,150676
Fettgewebe,0,6,17,4,10,22,16317,59830,308,226,157,425,50176,1254,797,3822,16317,22,19,18,24,172,8,3,11,1878,201,138,323,262003,20358,11433,51287
Fettgewebe,0,2,10,3,8,14,19194,679477,315,218,114,381,656254,2335,622,3587,19194,32,27,21,39,8314,19,9,39,6822,210,124,530,274895,11311,3701,45169
