@relation data

@attribute Class {DCIC,Entz¸ndung,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Fettgewebe,0,0,8,7,21,66,24153,88044,213,148,80,264,71318,1209,640,1748,24153,34,30,23,41,41,5,4,8,2363,262,203,1161,1432985,29073,14393,171177
Fettgewebe,0,0,8,7,14,113,7045,41832,509,406,205,730,26989,1237,597,8808,7045,23,21,16,27,209,11,3,88,1924,232,54,1942,103407,20674,5272,90789
Fettgewebe,0,0,7,5,12,75,40564,89521,427,299,192,476,67025,1211,642,7051,40564,33,26,21,37,148,12,4,42,9824,705,520,20042,1417844,126258,22412,1647320
Fettgewebe,0,9,47,6,15,62,2736,22572,341,255,162,445,15727,2429,841,34422,2736,24,22,18,29,178,12,9,384,627,116,110,1639,35653,12846,4722,57923
Fettgewebe,0,0,7,7,13,41,21427,197359,370,307,204,439,173266,1333,638,2010,21427,19,18,16,22,853,6,4,19,6583,557,202,918,492590,29232,14819,150676
Fettgewebe,0,4,12,5,10,17,43596,244137,303,253,182,380,229428,976,622,1225,43596,19,18,15,22,1743,3,3,8,12313,325,289,622,822566,48685,23421,75640
Fettgewebe,0,2,10,3,8,14,17467,679477,311,225,114,384,656254,2335,622,3587,17467,32,28,21,40,8314,19,9,39,6037,204,103,444,242489,10997,3084,37600
Fettgewebe,0,6,17,4,10,22,16317,59830,308,226,157,425,50176,1254,797,3822,16317,22,19,18,24,172,8,3,11,1878,201,138,323,262003,20358,11433,51287
Fettgewebe,0,0,2,5,9,16,25896,59885,271,277,122,363,51486,1068,771,8432,25896,28,25,18,33,465,6,5,136,5598,634,361,8432,333070,38043,29573,259720
Fettgewebe,0,3,12,5,10,20,11236,108904,491,322,185,530,98001,1315,800,1734,11236,22,19,16,26,781,11,6,34,1745,158,110,407,103383,10033,5852,12520
